Type,Country,Activity,Sex ,Age,Fatal (Y/N),Species 
Boating,USA,Paddling,F,57,N,White shark
Unprovoked,AUSTRALIA,Surfing,M,27,N,2 m shark
Provoked,MEXICO,Free diving,M,27,N,"Tiger shark, 3m"
Unprovoked,BRAZIL,Swimming,M,18,Y,Tiger shark
Unprovoked,USA,Fishing,M,52,N,"Lemon shark, 3'"
Unprovoked,USA,Walking,M,15,N,"Bull shark, 6'"
Provoked,AUSTRALIA,Feeding sharks,M,32,N,Grey reef shark
Invalid,ENGLAND,Fishing,M,21,N,Invalid incident
Provoked,AUSTRALIA,Feeding sharks,F,34,N,"Tawny nurse shark, 2m"
Questionable,AUSTRALIA,Surfing,M,27,N,Shark involvement not confirmed
Unprovoked,COSTA RICA,Scuba diving,M,30,N,Tiger shark
Questionable,AUSTRALIA,Surfing,M,27,N,Questionable
Unprovoked,AUSTRALIA,Surfing,M,60,N,3 m shark
Unprovoked,AUSTRALIA,Surfing,M,27,N,"White shark, 3.5 m"
Unprovoked,MALDIVES,Fishing,M,32,N,Tiger shark
Unprovoked,SOUTH AFRICA,Paddle-skiing,M,33,N,"White shark, 2.5 m"
Unprovoked,USA,Body boarding,M,29,N,6' shark
Unprovoked,THAILAND,Swimming,M,54,N,Juvenile bull shark
Unprovoked,BAHAMAS,Surfing,M,27,N,Tiger shark
Invalid,BRAZIL,Fishing,M,56,N,Shark involvement not confirmed
Unprovoked,NEW CALEDONIA,Windsurfing,M,27,N,2 m shark
Unprovoked,BAHAMAS,Swimming,M,12,N,Bull shark
Unprovoked,SOUTH AFRICA,Surfing,M,19,N,White shark
Unprovoked,USA,Stand-Up Paddleboarding,M,25,N,"Tiger shark, 12'"
Unprovoked,AUSTRALIA,Wading,M,10,N,Wobbegong shark
Unprovoked,AUSTRALIA,Swimming,M,69,N,3.5 m shark
Unprovoked,AUSTRALIA,Surfing,M,18,N,1.8 m shark
Unprovoked,SOUTH AFRICA,Scuba Diving,M,38,N,Blacktip shark
Unprovoked,AUSTRALIA,Swimming,F,55,N,"Juvenile white shark,  2.7 to 3.2 m"
Unprovoked,AUSTRALIA,Walking,M,35,N,"Bull shark, 2 m"
Invalid,AUSTRALIA,Swimming,F,27,N,Possibly a wobbegong
Invalid,BRAZIL,Cleaning fish,F,46,N,"Injury believed caused by an eel, not a shark"
Unprovoked,ECUADOR,Snorkeling,M,45,N,Galapagos shark?
Invalid,AUSTRALIA,Spearfishing,M,14,N,2m shark
Unprovoked,AUSTRALIA,other,M,18,N,Bull shark
Unprovoked,NEW CALEDONIA,Spearfishing,M,40,N,"Bull shark, 3 m "
Unprovoked,AUSTRALIA,Diving,M,27,N,Grey reef shark. 2 m
Unprovoked,AUSTRALIA,Free diving,M,28,N,"White shark, 3.5 m"
Unprovoked,BRAZIL,Surfing,M,20,N,small shark
Unprovoked,AUSTRALIA,Surfing,M,27,N,Wobbegong shark?
Unprovoked,USA,Surfing,F,54,N,Tiger shark
Provoked,MALAYSIA,Fishing / Wading,M,24,N,Juvenile nurse shark
Unprovoked,BAHAMAS,Snorkeling,F,25,N,Nurse shark. 5'
Unprovoked,COSTA RICA,Scuba Diving,M,26,N,"Tiger shark, female"
Unprovoked,COSTA RICA,Scuba diving,F,49,Y,"Tiger shark, female"
Sea Disaster,LIBYA,2 boats capsized,M,27,Y,Some drowned but other may have been killed by blue sharks
Unprovoked,USA,Spearfishing,M,25,N,"White shark, 4.6 m"
Unprovoked,AUSTRALIA,Surfing,M,25,N,2 m shark
Unprovoked,CUBA,Night bathing,M,22,Y,Tiger shark
Unprovoked,AUSTRALIA,Snorkeling,M,7,N,Cookiecutter shark
Unprovoked,AUSTRALIA,Surfing,M,31,N,"Wobbegong shark, 1 m"
Unprovoked,AUSTRALIA,Kayaking / Fishing,F,15,N,"White shark, 4.5 m"
Unprovoked,NEW ZEALAND,Kayaking,M,27,N,2 m shark
Unprovoked,USA,Swimming,M,27,N,"Spinner shark, 4 to 5 feet"
Unprovoked,USA,Surfing,M,54,N,"Tiger shark, 8 to 10 feet"
Unprovoked,USA,Snorkeling,F,40,N,8' shark
Unprovoked,USA,Surfing,M,27,N,5' shark
Unprovoked,AUSTRALIA,Surfing,M,27,N,"White shark, 3.5 m"
Unprovoked,USA,Surfing,M,27,N,4' to 5' shark
Unprovoked,SPAIN,Body surfing,M,13,N,"Porbeagle, 1.5 m"
Boating,AUSTRALIA,Fishing,M,27,N,"White shark, 3.5m"
Unprovoked,USA,Surfing,M,18,N,5' to 6' shark
Unprovoked,AUSTRALIA,Surfing,M,35,N,"White shark, 3 to 3.5m "
Unprovoked,USA,Swimming,M,27,N,Nurse shark
Unprovoked,AUSTRALIA,Surfing,M,37,N,"White shark, 3 m"
Unprovoked,USA,SUP,M,69,N,"White shark, 5' to 7'"
Unprovoked,BAHAMAS,Spearfishing,M,27,N,5' shark
Unprovoked,USA,Swimming,M,13,N,Possibly a juvenile blacktip shark
Unprovoked,EGYPT,Snorkeling,F,20,N,"Oceanic whitetip shark, 1.8 to 2 m"
Provoked,USA,Fishing,M,34,N,4' shark
Boating,USA,Kayaking / Fishing,M,27,N,"White shark, 10'"
Unprovoked,USA,other,F,27,N,Sandtiger shark  2'
Unprovoked,SPAIN,Swimming,F,27,N,Blue shark 6'
Unprovoked,USA,other,F,40,N,"""A small shark"""
Boating,USA,Kayaking,M,40,N,"White shark, 11' to 13'"
Unprovoked,USA,SUP,M,50,N,"White shark, 8' to 10'"
Unprovoked,USA,Surfing,M,27,N,"White shark, 9'"
Boating,USA,Kayaking,M,27,N,White shark
Unprovoked,USA,Swimming,M,46,N,"Bull shark, 4' to 5'"
Provoked,MEXICO,Fishing,M,32,N,"Tiger shark, 100 kg"
Unprovoked,SOUTH AFRICA,Surfing,F,13,N,"White shark, 2.5 m"
Unprovoked,USA,Swimming,F,14,N,"Bull shark, 4' to 5'"
Unprovoked,REUNION,Body boarding,M,34,N,"Bull shark, 2m"
Unprovoked,AUSTRALIA,Body boarding,M,48,N,"White shark, 4 m"
Unprovoked,AUSTRALIA,Surfing,F,27,N,Seven-gill shark
Unprovoked,UNITED KINGDOM,Surfing ,M,30,N,"3m shark, probably a smooth hound"
Unprovoked,USA,Spearfishing,M,27,N,8' shark
Unprovoked,BAHAMAS,Snorkeling,F,32,N,Tiger shark
Provoked,USA,Touching a shark,F,20,N,3' shark
Unprovoked,USA,Feeding sharks,M,27,N,Tiger shark
Provoked,AUSTRALIA,Attempting to lasso a shark,M,29,N,9' shark
Unprovoked,AUSTRALIA,Surfing,F,17,Y,White shark
Unprovoked,USA,Surfing,M,28,N,"Tiger shark, 12'"
Unprovoked,USA,Swimming,F,17,N,"Bull shark, 5' to 7'"
Boating,USA,Kayaking,M,27,N,White shark
Unprovoked,PHILIPPINES,Spearfishing,M,25,N,10' shark
Unprovoked,BAHAMAS,Washing hands,M,58,N,Lemon shark
Unprovoked,AUSTRALIA,Snorkeling,F,27,N,"Bull shark, 1.5"
Provoked,BRAZIL,Grabbing shark for a selfie,F,27,N,Lemon shark pup
Boating,SOUTH AFRICA,Kayak fishing,M,27,N,Tiger shark
Boating,USA,Tagging sharks,M,27,N,"White shark, female, 14'"
Unprovoked,BAHAMAS,Scuba Diving,M,37,N,Caribbean reef shark
Unprovoked,AUSTRALIA,Scuba Diving,M,55,N,"Bull shark, 4 m"
Unprovoked,INDONESIA,Surfing,M,48,N,"Bull shark, 1 m"
Unprovoked,AUSTRALIA,Snorkeling,F,27,N,a small shark
Unprovoked,SOUTH AFRICA,Surf skiing ,M,55,N,"White shark, 4 m"
Provoked,AUSTRALIA,Surf fishing,M,20,N,"Wobbegong shark, 2m"
Unprovoked,AUSTRALIA,Surfing,M,65,N,White shark
Provoked,AUSTRALIA,Fishing,M,73,N,"Broadnose sevengill shark, 1.5 m"
Unprovoked,USA,Floating,F,58,N,Tiger shark
Unprovoked,USA,Surfing,M,36,N, 6' to 8' shark
Unprovoked,AUSTRALIA,Surfing,M,17,N,"White shark, 3.5 m"
Unprovoked,AUSTRALIA,Surfing,M,27,N,2 m shark
Unprovoked,USA,Wading,M,60,N,3' to 4' shark
Unprovoked,USA,Swimming,F,51,N,"Tiger shark, 10'"
Unprovoked,USA,Spearfishing,M,22,N,"White shark, 8' to 10'"
Unprovoked,USA,Surfing,M,25,N,"Bull shark, 6'"
Unprovoked,REUNION,Surfing,M,20,N,"Bull shark, 3.5 m"
Unprovoked,USA,SUP Foil boarding,M,21,N,"Tiger shark, 10' "
Unprovoked,USA,Surfing,M,22,N,Blacktip shark
Unprovoked,SPAIN,Swimming,M,40,N,Blue shark
Boating,AUSTRALIA,Kayaking,M,27,N,White shark
Provoked,USA,Lobstering,M,43,N,"Nurse shark, 4'"
Unprovoked,BAHAMAS,Spearfishing,M,27,N,"Bull shark, 6'"
Provoked,AUSTRALIA,Fishing,M,31,N,"reef shark, 1m"
Boating,USA,Fishing in Alabama Deep Fishing Rodeo,M,27,N,"Tiger shark, 10' "
Unprovoked,USA,Kite surfing,M,61,N,"White shark, 10' to 12'"
Unprovoked,BAHAMAS,Scuba Diving,M,27,N,"Lemon shark, 9'"
Unprovoked,SPAIN,Wading,F,10,N,Angel shark
Boating,USA,Fishing for squid,M,27,N,White shark
Provoked,USA,Fishing,M,59,N,dogfish shark
